INDEX,TIME,TEMP
1,08:14:17,34.25
2,08:14:19,34.5
3,08:14:21,35
4,08:14:23,35
5,08:14:25,35
6,08:14:27,35.5
7,08:14:29,35
8,08:14:31,35.5
9,08:14:33,35.75
10,08:14:35,36.25
11,08:14:37,36.5
12,08:14:39,36.25
13,08:14:41,37.25
14,08:14:43,37.5
15,08:14:45,37.25
16,08:14:47,37.75
17,08:14:49,37.5
18,08:14:51,38
19,08:14:53,37.75
20,08:14:55,38.25
21,08:14:57,39
22,08:14:59,39.25
23,08:15:01,39.5
24,08:15:03,40
25,08:15:05,40.25
26,08:15:07,40.25
27,08:15:09,40.75
28,08:15:11,40.5
29,08:15:13,40.5
30,08:15:15,41.25
31,08:15:17,41.75
32,08:15:19,41.75
33,08:15:21,42
34,08:15:23,42.75
35,08:15:25,43
36,08:15:27,42.75
37,08:15:29,43
38,08:15:31,43.5
39,08:15:33,43.25
40,08:15:35,44
41,08:15:37,44.25
42,08:15:39,44.75
43,08:15:41,45
44,08:15:43,45.25
45,08:15:45,45
46,08:15:47,45.75
47,08:15:49,45.25
48,08:15:51,46
49,08:15:53,46.5
50,08:15:55,46.75
